Company,Valuation,Funding,Select Investors,Country,Continent,Founders
SpaceX,$350B,$9B,Andreessen Horowitz,United States,North America,Not Found
OpenAI,$300B,$58B,SoftBank,United States,North America,"Elon Musk, Sam Altman, Greg Brockman, Ilya Sutskever, John Schulman, Wojciech Zaremba, Paul Christiano"
ByteDance,$220B,$8B,Kohlberg Kravis Roberts Japan, Sequoia Capital,China,".mw-parser-output .plainlist ol, .mw-parser-output .plainlist ul{line-height:inherit, list-style:none, margin:0, Zhang Yiming, Liang Rubo"
Ant Group,$150B,$19B,GIC, Temasek Holdings,China,Not Found
Reliance Retail,$100B,$8B,Abu Dhabi Investment Authority,India,Asia,Not Found
Shein,$66B,$4B,General Atlantic, HSG,China,Not Found
Stripe,$65B,$9B,Andreessen Horowitz, Baillie Gifford,United States,"Patrick Collison, John Collison"
Databricks,$62B,$14B,Andreessen Horowitz, DST Global,United States,"Ali Ghodsi, Ion Stoica, Matei Zaharia, Patrick Wendell, Reynold Xin, Andy Konwinski, Arsalan Tavakoli-Shiraji"
Anthropic,$62B,$13B,Lightspeed Venture Partners,United States,North America,"Daniela Amodei, Dario Amodei"
Reliance Jio,$58B,$20B,Google,India,Asia,Not Found
xAI,$50B,$12B,X (formerly Twitter),United States,North America,"Elon Musk, Igor Babuschkin"
Revolut,$45B,$2B,Woodford Investment Management,United Kingdom,Europe,"Nikolay Storonsky, Vlad Yatsenko"
Waymo,$45B,$11B,Alphabet,United States,North America,"Larry Page, Sergey Brin, Anthony Levandowski, Dmitri Dolgov"
Checkout.com,$40B,$2B,Tiger Global Management,United Kingdom,Europe,Guillaume Pousaz
JUUL,$38B,$15B,Altria,United States,North America,"Adam Bowen, James Monsees"
Canva,$32B,$580M,Stack Capital,Australia,Oceania,"Melanie Perkins, Cliff Obrecht"
Safe Superintelligence,$32B,$3B,Greenoaks,United States,North America,"Ilya Sutskever, Daniel Gross, Daniel Levy"
