Name,Email
Harish Abbott,press@deliverr.com
Brian Acton,press@signal.org
Elias Aalto,press@wolt.com
Timo Ahopelto,info@lifelineventures.com
Kevin Aluwi,media@gojek.com
Lauri Andler,press@wolt.com
Brian Armstrong,press@coinbase.com
Brian Armstrong (GiveCrypto),hello@givecrypto.org
Binny Bansal,media@flipkart.com
Sachin Bansal,media@flipkart.com
Alok Bansal,pr@policybazaar.com
Sanjit Biswas,pr@samsara.com
Nathan Blecharczyk,press@airbnb.com
Reggie Brown,press@snap.com
Garrett Camp,events@expa.com
Anthony Casalena,press@squarespace.com
Tony Chen,pr@jte.com
Brian Chesky,press@airbnb.com
Pranay Chulet,media@quikr.com
Thierry Cruanes,ir@snowflake.com
Benoit Dageville,ir@snowflake.com
Daniel Dines,press@uipath.com
Jack Dorsey,press@block.xyz
Daniel Ek,press@spotify.com
Fred Ehrsam,info@paradigm.xyz
Andy Fang,press@doordash.com
Janus Friis,press@starship.xyz
Joe Gebbia,team@gebbiacap.com
Noah Glass,https://noahglass.com/contact
Logan Green,press@lyft.com
Reid Hoffman,media@greylock.com
Colin Huang,ir@pinduoduo.com
Drew Houston,press@dropbox.com
Travis Kalanick,info@cstry.com
Daphne Koller,press@insitro.com
Miki Kuusi,press@wolt.com
Eric Lefkofsky,info@tempus.com
Aaron Levie,press@box.com
Martin Lorentzon,press@spotify.com
Jack Ma,english@foundation.ma
Alan Mamedi,pr@truecaller.com
Andrew Mason,press@descript.com
Miguel McKelvey,info@miguelmckelvey.com
Adam Neumann,speaking@adamnewmann.com
Apoorva Mehta,press@instacart.com
Hari Menon,pr@bigbasket.com
Dustin Moskovitz,info@goodventures.org
Max Mullen,press@instacart.com
Bobby Murphy,press@snap.com
Andrew Ng,info@aifund.ai
Falguni Nayar,pr@nykaa.com
Magnus Olsson,press@careem.com
Mark Pincus,inquiries@pincus.la
Matthew Prince,press@cloudflare.com
Jun Rao,press@confluent.io
Eduardo Saverin,contact@bcapgroup.com
Pieter van der Does,press@adyen.com
Ben Silbermann,press@pinterest.com
Evan Spiegel,press@snap.com
Biz Stone,speaking@bizstone.com
Anthony Tan,grabpress@grab.com
Tan Hooi Ling,grabpress@grab.com
Vladimir Tenev,press@robinhood.com
Bom Kim,ir@coupang.com
Cheng Wei,pr@didiglobal.com
Anthony Wood,pr@roku.com
Nick Woodman,pr@gopro.com
Tony Xu,press@doordash.com
Dmytro Zaporozhets,press@gitlab.com
Niklas Zennström,inquiries@atomico.com
Lu Zhengyao,ir@luckincoffee.com
Su Hua,ir@kuaishou.com
Marcin Zukowski,ir@snowflake.com
Mark Zuckerberg,press@chanzuckerberg.com 
